,ctrl_Prom1,ctrl_Prom2,ctrl_Rep,ctrl_Neu,ctrl_Alt,treated_Prom1,treated_Prom2,treated_Rep,treated_Neu
Sema4d,1,1,1,1,1,0,0,1,1
Dkc1,1,1,1,0,0,1,1,1,0
Sh3kbp1,1,1,0,0,1,1,1,0,0
Sp1,1,1,1,1,1,0,0,0,0
Mpzl1,1,0,0,0,0,1,1,0,0
Osbpl3,1,1,0,0,1,1,1,0,0
Rcc1,1,0,1,0,0,1,0,1,0
Epas1,1,1,0,1,0,1,0,0,1
Gata3,1,1,0,1,0,0,1,0,1
Tnrc6b,1,0,0,1,1,1,1,0,1
Gadd45b,1,1,0,0,0,1,1,0,0
Pparg,1,1,1,1,1,0,0,0,0
Tfrc,1,1,1,0,0,1,1,1,0
Kif20a,1,0,0,0,0,0,0,0,0
Pttg1,1,0,0,0,0,1,1,0,0
Nusap1,1,0,0,0,0,1,1,0,0
Hdac5,1,1,0,0,0,1,1,0,0
Cbx3,1,0,1,0,0,1,0,1,0
Ptprc,1,0,0,1,1,0,0,0,1
Pold4,1,0,0,1,1,0,0,0,1
Hells,1,0,1,0,0,0,0,1,0
Smg6,1,1,0,0,0,1,1,0,0
Fos,1,1,1,1,1,0,0,0,0
Cenpa,1,0,0,0,0,1,1,0,0
Ybx3,1,1,1,0,0,1,0,1,0
Mthfd2l,1,1,0,0,0,1,1,0,0
Mycbp2,1,1,1,0,0,1,1,1,0
Cnih4,1,0,1,0,0,1,0,1,0
Ncapg2,1,0,1,0,0,1,0,1,0
Fli1,1,1,0,1,1,1,1,0,0
Mycn,1,1,1,0,0,1,1,1,0
Stim1,1,1,0,0,0,1,1,0,0
Cdc25a,1,0,1,0,0,1,1,1,0
Cks1b,1,0,1,0,0,1,1,1,0
Asap1,1,1,0,0,0,1,1,0,0
Runx1,1,1,0,0,1,1,1,0,0
Rbm47,1,1,1,1,1,0,0,1,1
Kif23,1,0,0,0,0,1,1,0,0
Dsp,1,1,0,0,0,1,0,0,0
Tfap2a,1,1,1,1,1,0,0,0,0
Yy1,1,1,1,0,0,1,1,1,0
Tyms,1,0,1,0,0,1,0,1,0
Ncam1,1,1,0,0,0,1,1,0,0
Igf2r,1,1,0,0,0,1,1,0,0
Xylt1,1,1,1,1,0,0,0,1,1
Aurka,1,0,0,0,0,1,1,0,0
Slc25a4,1,1,0,0,0,0,0,0,0
Cemip2,1,1,0,0,0,1,1,0,0
Odc1,1,0,1,0,0,1,0,1,0
Tfpi,1,1,1,0,0,1,1,1,0
Nr1h4,1,1,0,1,1,1,0,0,1
Zcchc7,1,1,1,0,0,1,0,1,0
P4ha1,1,1,0,0,0,1,1,0,0
Racgap1,1,0,1,0,0,1,1,1,0
Zbtb40,1,1,0,0,0,1,1,0,0
Zfp131,1,1,1,0,0,1,1,1,0
Ugcg,1,1,1,0,1,0,1,1,0
Rad51,1,0,1,0,0,1,0,1,0
Ppid,1,0,1,0,0,1,0,1,0
Ndufab1,1,1,1,0,0,1,1,1,0
Fdft1,1,1,0,0,0,1,1,0,0
Zbtb16,1,1,1,1,1,1,0,0,0
Cdk1,1,0,1,0,0,1,1,1,0
Ube2s,1,1,0,0,0,1,1,0,0
Prkch,1,1,0,0,0,1,1,0,0
Cd53,1,1,0,1,1,0,0,0,1
Lmnb1,1,0,1,0,0,1,0,1,0
Il15,1,1,0,0,0,0,0,0,0
Cd68,1,1,0,1,1,0,0,0,0
Smarca5,1,0,1,0,0,1,1,1,0
Zfp462,1,1,0,0,0,0,0,0,0
Cited2,1,1,0,0,0,1,1,0,0
Gata1,1,1,0,0,1,0,0,0,0
Bphl,1,1,0,0,0,1,1,0,0
Fads2,1,1,1,0,0,0,0,1,0
Esr1,1,1,1,0,0,0,0,1,0
Mitf,1,1,0,1,0,0,0,0,1
Trp63,1,1,1,0,0,1,1,1,0
Smchd1,1,0,1,0,0,1,1,1,0
Scd2,1,1,1,0,0,1,1,1,0
Hspa4,1,1,1,0,0,1,1,1,0
Pex6,1,1,0,0,0,1,1,0,0
Tal1,1,1,1,1,1,1,1,0,0
Cdt1,1,0,1,0,0,1,0,1,0
Dck,1,0,1,0,0,1,1,1,0
Fryl,1,1,0,0,0,1,1,0,0
Hspd1,1,1,1,0,0,1,0,1,0
Ppp1r10,1,1,0,0,0,1,1,0,0
Nck2,1,1,0,0,1,1,1,0,0
Dbp,1,1,0,0,0,0,0,0,0
Aurkb,1,0,1,0,0,1,1,1,0
Dbf4,1,0,1,0,0,1,0,1,0
H2-T23,1,1,0,1,1,1,1,0,0
Pdcd4,1,1,0,0,0,1,1,0,0
Sgo2a,1,0,0,0,0,1,0,0,0
Tars1,1,0,1,0,0,1,0,1,0
Foxa2,1,1,0,1,0,1,1,0,1
Rere,1,1,0,0,0,1,1,0,0
Ets2,1,0,1,0,0,1,0,1,0
Eif3a,1,1,1,0,0,0,0,1,0
Arhgef39,1,0,0,0,0,0,0,0,0
Isyna1,1,1,1,0,0,1,1,1,0
Tfap2c,1,1,0,0,0,1,0,0,0
Insig1,1,1,0,0,0,1,1,0,0
Nt5e,1,1,1,1,1,0,0,0,0
Ldlr,1,1,0,0,0,1,1,0,0
Jarid2,1,1,0,0,0,1,1,0,0
Ttc7,1,1,0,1,0,1,1,0,0
Rara,1,1,0,1,1,1,1,0,1
Zfpm1,1,1,0,0,0,1,0,0,0
Ncl,1,1,1,0,0,1,1,1,0
Asf1b,1,0,1,0,0,1,1,1,0
Lrp5,1,1,0,0,0,1,1,0,0
Shmt1,1,1,1,0,0,1,0,1,0
Hmmr,1,0,0,0,0,1,1,0,0
Myb,1,1,1,0,0,1,1,0,0
Myc,1,0,1,0,0,1,0,1,0
Nek6,1,1,1,1,1,0,0,1,1
Apex1,1,1,1,0,0,0,0,1,0
Ar,1,0,0,1,1,1,1,0,0
Hnf4a,1,0,0,1,1,1,0,0,0
Cd84,1,1,0,1,1,0,0,0,1
Sox2,1,1,1,0,0,1,0,1,0
Ryr1,1,1,0,0,0,1,1,0,0
Flnb,1,1,1,1,1,0,0,0,0
Cdc6,1,0,1,0,0,1,0,1,0
Sord,1,1,0,0,0,1,1,0,0
Dhrs9,1,0,0,1,1,0,0,0,1
Akr1b1,1,1,1,0,0,0,0,1,0
Car9,1,1,0,0,0,0,0,0,0
Foxp1,1,0,1,0,0,1,1,1,0
Ankrd28,1,1,0,0,0,1,1,0,0
Tipin,1,0,1,0,0,0,0,1,0
Bcl6,1,0,0,0,0,0,0,0,0
Mlph,1,1,0,0,0,1,1,0,0
Ccn3,1,1,1,1,1,1,0,0,0
Itga4,1,1,0,0,0,1,1,0,0
Pcna,1,0,1,0,0,1,0,1,0
Cxcr2,1,1,0,1,1,0,0,0,1
Gstm1,1,0,0,0,0,1,1,0,0
Ano10,1,1,0,0,0,0,0,0,0
Manf,1,1,1,0,0,1,1,1,0
Tubb4b,1,0,0,0,0,1,0,0,0
Ect2,1,0,0,0,0,1,1,0,0
Skp2,1,0,1,0,0,1,1,1,0
Nap1l1,1,0,1,0,0,1,1,1,0
Itga1,1,1,1,1,1,0,0,1,1
Pfkl,1,1,0,0,0,1,0,0,0
Zfp26,1,1,0,0,0,1,1,0,0
Foxm1,1,1,1,0,0,1,1,1,0
Dnph1,1,0,1,0,0,1,1,1,0
Stap2,1,0,0,0,0,1,1,0,0
Slc3a2,1,1,1,1,1,1,0,0,0
Ifitm3,1,1,1,1,1,0,0,1,1
Evl,1,1,0,0,0,1,1,0,0
Kdm4b,1,1,0,0,0,1,1,0,0
Klf9,1,1,1,0,0,0,0,1,0
Syne2,1,0,0,0,0,1,1,0,0
Mycs,1,1,0,1,1,1,1,0,1
Exoc6,1,0,0,0,0,1,1,0,0
Gsn,1,1,0,1,1,0,1,0,1
Vcan,1,1,1,0,0,0,0,1,0
Pdgfrb,1,1,0,0,0,1,1,0,0
Icam4,1,0,0,0,0,0,0,0,0
Rasgef1a,1,1,0,0,0,1,1,0,0
Jun,1,1,1,0,0,0,0,1,0
Dtl,1,0,1,0,0,1,0,1,0
Dock10,1,1,1,1,1,0,0,0,0
Celf1,1,1,0,0,0,1,0,0,0
Cd72,1,1,0,0,0,0,0,0,0
Mt2,1,1,0,1,1,0,0,0,0
Ccnf,1,0,0,0,0,1,0,0,0
Dio2,1,1,1,0,0,0,1,1,0
Taf15,1,1,1,0,0,1,0,1,0
Pim2,1,1,0,0,0,0,0,0,0
Rb1cc1,1,1,0,0,0,1,1,0,0
