,ctrl_Prom1,ctrl_Prom2,ctrl_Rep,ctrl_Neu,ctrl_Alt,treated_Prom1,treated_Prom2,treated_Rep,treated_Neu
Aff1,0,0,0,1,0,1,1,0,1
F5,0,0,0,0,0,1,1,0,0
Ascl2,0,0,1,0,0,0,0,1,0
Gstm2,0,0,0,0,0,1,1,0,0
Trp73,0,0,0,0,0,1,1,0,0
Kat6a,0,0,0,0,0,1,0,0,0
Zfp407,0,0,1,0,0,1,0,1,0
Slbp,0,0,1,0,0,1,0,1,0
Foxo1,0,0,1,0,0,0,0,1,0
Myh9,0,1,1,1,1,1,1,1,1
Prkcb,0,0,0,1,1,0,1,0,1
Tesc,0,1,1,1,1,1,1,1,1
Cxcr4,0,0,0,1,0,1,1,0,1
Sp140,0,1,0,1,0,1,1,1,1
Ifi27,0,1,0,1,0,1,1,1,1
Pnrc1,0,1,0,1,1,0,1,0,1
Mdm2,0,0,0,0,0,1,1,0,0
Svil,0,0,0,1,0,0,1,0,1
Thrap3,0,0,1,0,0,1,0,1,0
Atp8b4,0,0,0,0,0,1,1,0,0
Ifrd1,0,0,1,1,1,0,0,1,1
Itga2b,0,1,0,1,1,0,0,0,0
Hipk2,0,0,1,0,0,1,0,1,0
Prox1,0,0,0,0,0,1,0,0,0
Casp8ap2,0,0,1,0,0,1,0,1,0
Nr0b1,0,0,1,0,0,0,0,1,0
Nrg4,0,0,1,0,0,1,1,1,0
Rcc2,0,0,1,0,0,0,0,1,0
Cenpb,0,0,1,0,0,0,0,1,0
Id1,0,0,1,1,1,0,0,1,1
Pde4d,0,0,0,0,0,1,1,0,0
Cep128,0,0,0,0,0,1,1,0,0
Aspm,0,0,0,0,0,1,1,0,0
Baiap2,0,0,1,1,1,0,1,1,1
Pde2a,0,0,0,1,0,0,1,0,1
Srebf2,0,0,0,0,0,1,1,0,0
Paics,0,0,1,0,0,1,0,1,0
Rela,0,1,0,1,1,0,1,0,1
Brca1,0,0,1,0,0,1,0,1,0
Csf3r,0,0,0,0,0,1,1,0,0
Gnaq,0,1,0,1,0,0,1,0,1
Adgre5,0,0,0,1,1,0,1,0,1
E2f7,0,0,1,0,0,0,0,1,0
Tk1,0,0,1,0,0,0,0,1,0
Mtss1,0,0,0,0,0,1,0,0,0
Txnip,0,1,0,1,1,0,1,0,1
Fbxl5,0,0,1,1,1,0,0,1,1
Ncf1,0,0,0,1,1,0,1,0,1
Hmgn2,0,0,0,0,0,1,1,0,0
Sp3,0,0,0,1,1,0,1,0,1
Tbxas1,0,1,0,1,1,1,1,0,1
Sh3kbp1,0,0,0,0,1,0,0,0,0
Mpzl1,0,0,0,0,0,1,1,0,0
Rcc1,0,0,1,0,0,1,0,1,0
Tnrc6b,0,1,0,1,1,0,1,0,1
Gadd45b,0,0,0,0,0,1,1,0,0
Inhba,0,0,0,1,0,0,1,0,1
Tfrc,0,0,1,0,0,1,0,1,0
E2f8,0,0,1,0,0,1,0,1,0
Cbx3,0,0,1,0,0,1,0,1,0
Ptprc,0,1,0,1,1,1,1,0,1
Hells,0,0,1,0,0,1,0,1,0
Smg6,0,0,0,0,0,1,0,0,0
Ada,0,0,0,1,0,1,1,0,1
Niban1,0,0,1,1,1,0,1,1,1
Cebpb,0,0,1,1,1,1,1,1,1
Ccnd3,0,1,0,1,1,0,1,0,1
Gpx3,0,0,0,0,0,1,1,0,0
Fli1,0,1,0,1,1,1,1,0,0
Vcam1,0,0,0,1,1,1,1,0,0
Dlgap5,0,0,0,0,0,1,1,0,0
Mycn,0,0,1,0,0,0,0,1,0
Mtus1,0,0,0,1,0,1,1,0,0
Cdc25a,0,0,1,0,0,1,0,1,0
Cebpe,0,1,0,1,0,0,1,0,1
Atad2,0,0,1,0,0,0,0,1,0
Asap1,0,0,0,0,0,1,1,0,0
Runx1,0,1,0,0,1,0,0,0,0
Bbx,0,0,1,0,0,0,0,1,0
Stat6,0,0,1,1,1,1,1,1,1
Ninj1,0,0,1,1,1,0,0,1,1
Tyms,0,0,1,0,0,1,0,1,0
Igf2r,0,0,0,0,0,0,1,0,0
Cemip2,0,0,0,0,0,1,1,0,0
Tfpi,0,0,1,0,0,0,0,1,0
Nr1h4,0,1,0,1,1,0,1,0,1
Zcchc7,0,0,1,0,0,1,0,1,0
Ugcg,0,0,1,0,1,0,0,1,0
Apobr,0,1,0,1,1,1,1,0,1
Dnmt1,0,0,1,0,0,0,0,1,0
Cd53,0,1,0,1,1,0,0,0,1
Lig1,0,0,1,0,0,0,0,1,0
Cited2,0,0,0,0,0,1,1,0,0
Gata1,0,1,0,0,1,0,0,0,0
Ltf,0,0,0,1,0,1,1,0,1
Itgb5,0,0,0,1,0,0,0,0,0
Esr1,0,0,1,0,0,0,0,1,0
Mitf,0,1,0,1,0,0,1,0,1
Rad21,0,0,0,0,0,1,1,0,0
Gda,0,0,0,0,0,1,1,0,0
Trp63,0,0,1,0,0,0,0,1,0
Scd2,0,0,1,0,0,1,0,1,0
Hspa4,0,0,1,0,0,1,0,1,0
Mcm3,0,0,1,0,0,0,0,1,0
Cdt1,0,0,1,0,0,1,0,1,0
Tnfaip8l1,0,0,0,0,0,1,0,0,0
Syne1,0,1,1,1,1,1,1,1,1
Mctp1,0,0,0,1,0,1,1,0,1
Ass1,0,1,0,1,1,0,0,0,0
Nfkbia,0,1,0,1,1,1,1,0,1
H2-T23,0,1,0,1,1,0,0,0,0
Ehd1,0,0,1,1,1,0,0,1,1
Eif3a,0,0,1,0,0,0,0,1,0
Srebf1,0,0,1,0,0,0,0,1,0
Ccne1,0,0,1,0,0,1,0,1,0
Id2,0,0,0,1,1,1,1,0,1
Fas,0,0,0,1,1,1,1,0,1
Nfkb2,0,1,0,1,1,0,1,0,1
Jarid2,0,0,0,0,0,1,1,0,0
Ttc7,0,1,0,1,0,0,0,0,0
Actn1,0,0,0,1,0,0,1,0,1
Rara,0,1,0,1,1,1,1,0,1
Ncl,0,0,1,0,0,1,0,1,0
Lrp5,0,0,0,0,0,1,0,0,0
Ar,0,0,0,1,1,0,0,0,0
Ceacam1,0,0,0,1,1,0,1,0,1
Hnf4a,0,1,0,1,1,1,1,0,0
Cd84,0,1,0,1,1,0,1,0,1
Rrm1,0,0,1,0,0,0,0,1,0
Ddit4,0,0,1,1,1,0,0,0,0
Cdc6,0,0,1,0,0,1,0,1,0
Cd24a,0,0,0,1,1,1,1,0,1
Foxp1,0,0,1,0,0,0,0,1,0
Tipin,0,0,1,0,0,0,0,1,0
Fam107b,0,0,0,0,1,0,0,0,0
Tpx2,0,0,1,0,0,1,0,1,0
Cyp11a1,0,1,1,1,1,0,0,0,0
Bcl6,0,0,0,0,0,0,0,0,0
Slc40a1,0,0,0,0,0,1,1,0,0
Spi1,0,1,0,1,1,0,1,0,1
Ets1,0,0,0,1,0,1,1,0,1
Gstm1,0,0,0,0,0,1,0,0,0
Manf,0,0,1,0,0,1,0,1,0
Ect2,0,0,0,0,0,1,0,0,0
E2f2,0,1,1,1,1,0,1,1,1
Anxa2,0,1,0,1,1,0,1,0,1
Itga1,0,0,1,1,1,0,0,1,1
Sh2b3,0,0,1,1,1,0,0,1,1
Plaur,0,1,0,1,1,0,1,0,1
Btg2,0,1,0,1,1,0,1,0,1
Stap2,0,0,0,0,0,1,1,0,0
Fosl1,0,0,0,0,0,0,0,0,0
Myo5a,0,0,0,1,0,1,1,0,1
Syne2,0,0,0,0,0,1,1,0,0
Mycs,0,0,0,1,1,0,1,0,1
Slco4a1,0,0,0,0,0,1,1,0,0
Exoc6,0,0,0,0,0,1,1,0,0
Abca3,0,0,0,0,0,1,1,0,0
Gsn,0,1,0,1,1,0,1,0,1
Cebpa,0,0,1,0,0,1,0,1,0
Rasgef1a,0,0,0,0,0,1,1,0,0
Dtl,0,0,1,0,0,1,0,1,0
Rb1cc1,0,0,0,0,0,1,1,0,0
Ptgds,1,1,0,0,0,1,0,0,0
Atxn7,1,1,1,0,0,0,0,1,0
Atf4,1,0,1,0,0,1,0,1,0
Rock2,1,0,1,0,0,0,0,1,0
Cenpf,1,0,0,0,0,1,1,0,0
Ccnb1,1,0,0,0,0,1,1,0,0
Trio,1,1,1,1,0,1,1,1,1
Ahr,1,1,1,1,1,1,1,0,0
Hnrnpdl,1,0,1,0,0,1,0,1,0
Fcgrt,1,1,1,1,1,0,0,0,0
Plk1,1,0,0,0,0,1,1,0,0
Sfi1,1,1,0,0,0,0,0,0,0
Tcf7,1,1,1,1,0,0,0,0,0
Rrp1b,1,0,1,0,0,1,0,1,0
Gnl3,1,0,1,0,0,1,0,1,0
Ubr5,1,0,1,0,0,0,0,1,0
Katnip,1,1,0,0,0,1,1,0,0
Prkcd,1,0,0,1,1,1,1,1,1
Birc5,1,0,1,0,0,1,1,1,0
Trps1,1,1,1,1,1,0,0,0,0
Pik3cd,1,1,1,0,1,1,0,1,0
Taf1d,1,0,1,0,0,0,0,1,0
Mcm2,1,0,1,0,0,1,0,1,0
Smarca4,1,0,1,0,0,1,0,1,0
Hat1,1,0,1,0,0,1,0,1,0
Mcm5,1,0,1,0,0,1,0,1,0
Tmpo,1,0,1,0,0,0,0,1,0
Eif4g3,1,1,0,0,0,1,0,0,0
Hip1,1,1,1,0,0,0,0,1,0
Mat2a,1,1,1,0,0,1,0,1,0
Gfi1,1,0,0,0,0,1,1,0,0
Lmna,1,1,1,1,1,0,0,0,0
Cdkn2a,1,1,0,1,1,0,0,0,0
Pold2,1,0,1,0,0,0,0,1,0
Rab27a,1,1,0,0,0,1,1,0,0
Itgb7,1,1,0,1,1,0,0,0,1
Ctsb,1,1,1,1,1,0,0,0,0
Shmt2,1,0,1,0,0,0,0,1,0
Rbms1,1,0,1,0,0,0,0,1,0
Ccna2,1,0,1,0,0,1,0,1,0
Pou2f1,1,1,1,1,1,0,0,0,0
Atad3a,1,0,1,0,0,1,0,1,0
Pde4b,1,1,0,0,0,0,0,0,0
Ccnd2,1,1,1,1,1,0,0,0,0
Ano6,1,1,0,0,0,0,0,0,0
Kif2c,1,0,1,0,0,1,1,1,0
Tef,1,1,0,0,0,0,0,0,0
Ccnb2,1,0,0,0,0,1,1,0,0
Sqstm1,1,1,1,1,1,0,0,0,0
Csgalnact1,1,1,1,1,1,0,0,0,0
Vps13c,1,1,1,0,0,1,0,1,0
Smad7,1,1,1,1,1,0,0,0,0
Fto,1,1,1,0,0,0,0,1,0
Capn2,1,1,1,1,1,0,0,0,0
St14,1,1,0,1,1,0,1,0,1
Itgam,1,1,0,1,1,0,0,0,1
Cdk6,1,1,0,0,0,0,0,0,0
Foxa1,1,0,1,0,0,1,0,1,0
Jund,1,1,1,1,1,0,0,1,1
Mxd4,1,1,0,0,0,1,1,0,0
Zfp263,1,1,0,1,0,1,1,0,1
Cdc45,1,0,1,0,0,1,0,1,0
Zfp292,1,1,0,0,0,1,1,0,0
Spp1,1,1,1,0,0,1,0,1,0
Tet3,1,1,0,0,0,1,1,0,0
Notch1,1,1,0,1,1,0,0,0,0
Cdca2,1,0,0,0,0,1,0,0,0
Sqle,1,0,1,0,0,1,0,1,0
Il4,1,1,1,1,1,0,0,0,0
Il12a,1,1,1,1,0,0,0,0,0
Ldlrad4,1,1,1,0,0,0,0,0,0
Top2a,1,0,1,0,0,1,0,1,0
Irf1,1,1,0,1,1,1,1,0,1
Ube2h,1,1,1,1,1,0,0,0,0
Rnase4,1,1,0,1,1,0,0,0,0
Exosc8,1,0,1,0,0,1,1,1,0
Iqgap2,1,1,1,0,0,0,0,1,0
Ppara,1,0,1,0,0,1,0,1,0
Ltc4s,1,1,1,1,1,0,0,0,0
Myo18a,1,1,0,0,0,1,0,0,0
Pmf1,1,0,1,0,0,0,0,1,0
Lama5,1,1,0,1,1,0,0,0,0
Zeb2,1,1,0,0,0,1,0,0,0
Klf5,1,1,0,1,1,0,0,0,0
Neurl3,1,1,0,1,1,1,1,0,1
Hpcal1,1,1,0,1,1,0,1,0,1
Cdc25b,1,0,0,0,0,1,1,0,0
Enah,1,1,1,1,1,0,0,0,0
Parp1,1,0,1,0,0,1,0,1,0
Nfe2l2,1,1,0,0,0,0,0,1,0
Adam17,1,1,0,0,0,0,0,0,0
Ezh2,1,0,1,0,0,0,0,1,0
Rin3,1,1,0,0,0,0,0,0,0
Satb1,1,1,1,1,1,0,0,1,1
Egln3,1,1,1,1,0,0,0,1,0
Esr2,1,1,0,1,1,0,0,0,0
Ndrg1,1,1,0,1,1,1,0,0,1
Gpr141,1,1,0,1,0,0,0,1,1
Srm,1,1,1,0,0,1,0,1,0
Vps13d,1,1,0,1,1,0,1,0,1
Cdkn2c,1,0,1,0,0,0,0,1,0
Sod1,1,1,1,1,1,0,0,0,0
Cd34,1,1,1,0,0,0,0,0,0
Sptbn1,1,1,0,0,0,1,1,0,0
Tacc3,1,0,0,0,0,1,1,0,0
Cenpe,1,0,0,0,0,1,1,0,0
Rev3l,1,0,1,0,0,1,0,1,0
Mcm7,1,0,1,0,0,0,0,1,0
Cd1d1,1,1,0,0,0,0,0,0,0
Twist1,1,1,0,1,1,0,0,0,0
Fam162a,1,1,1,1,1,0,0,0,0
Ola1,1,0,1,0,0,1,0,1,0
Asns,1,0,1,0,0,1,0,1,0
Nfil3,1,1,1,1,1,0,0,1,1
Stmn1,1,0,1,0,0,1,1,1,0
Stat1,1,0,0,1,0,1,1,1,1
F7,1,1,0,0,0,1,0,0,0
Cdk4,1,0,1,0,0,0,0,1,0
Rel,1,1,1,1,1,1,1,1,1
Aff3,1,1,1,0,0,0,0,1,0
Schip1,1,0,1,0,0,0,0,1,0
Rrm2,1,0,1,0,0,0,0,1,0
Osbpl5,1,1,0,0,0,0,0,0,0
Dgkg,1,1,0,1,1,0,1,0,0
Prkdc,1,0,1,0,0,1,0,1,0
Trp53,1,0,1,0,0,1,0,1,0
Csf2,1,1,1,1,1,0,0,0,0
Smarcc1,1,0,1,0,0,1,0,1,0
Prps1l1,1,1,0,0,0,0,0,0,0
Tbp,1,0,1,0,0,1,0,1,0
Hspe1,1,0,1,0,0,1,0,1,0
Ppat,1,0,1,0,0,1,0,1,0
Nme1,1,0,1,0,0,0,0,1,0
Sipa1l1,1,1,0,0,0,0,0,0,0
Fndc3b,1,1,0,0,0,0,0,0,0
Kif13a,1,1,0,0,0,0,0,0,0
Angpt1,1,0,1,0,0,0,0,1,0
Nop56,1,0,1,0,0,1,0,1,0
Ctsl,1,1,0,0,0,0,0,0,0
Galnt6,1,1,1,1,1,1,1,0,0
Nfkb1,1,1,1,1,1,0,0,0,0
Fbxo5,1,0,1,0,0,0,0,1,0
Tfr2,1,0,0,0,0,0,0,0,0
Bnip3,1,1,1,1,1,0,0,0,0
Arid5b,1,1,0,0,1,0,0,0,0
Bub3,1,1,0,0,0,1,1,0,0
Plk4,1,0,1,0,0,1,0,1,0
Bst2,1,1,0,0,0,0,0,0,0
Sec14l1,1,1,1,1,1,0,0,0,0
Lhfpl2,1,1,1,1,1,0,0,0,0
Sema4d,1,1,1,1,1,0,0,1,1
Plekho1,1,1,1,1,1,0,0,0,0
Dkc1,1,0,1,0,0,1,0,1,0
Sp1,1,1,1,1,1,0,0,0,0
Osbpl3,1,1,0,0,1,0,0,0,0
Epas1,1,1,0,1,0,1,1,0,1
Rb1,1,1,1,1,1,0,0,0,0
Gata3,1,1,0,1,0,0,1,0,1
Mki67,1,0,1,0,0,1,1,1,0
Pparg,1,1,1,1,1,0,0,0,0
Kif20a,1,0,0,0,0,0,0,0,0
Pttg1,1,0,0,0,0,1,0,0,0
Nusap1,1,0,0,0,0,1,1,0,0
Hdac5,1,1,0,0,0,1,0,0,0
Pold4,1,1,0,1,1,0,1,0,1
Fos,1,1,1,1,1,0,0,0,0
Cenpa,1,0,0,0,0,1,1,0,0
Hbp1,1,1,1,1,1,1,0,0,0
Mcm6,1,0,1,0,0,1,0,1,0
Ybx3,1,0,1,0,0,0,0,1,0
Nr1i2,1,1,0,1,1,1,1,0,1
Mthfd2l,1,0,0,0,0,0,0,0,0
Mycbp2,1,0,1,0,0,1,1,1,0
Cnih4,1,0,1,0,0,1,0,1,0
Ncapg2,1,0,1,0,0,1,0,1,0
Pold1,1,0,1,0,0,1,0,1,0
Pbx2,1,0,0,0,0,1,1,0,0
Ahnak,1,1,1,1,1,0,0,0,0
Stim1,1,1,0,0,0,1,1,0,0
Cks1b,1,0,1,0,0,1,0,1,0
Tiam1,1,1,1,1,1,0,0,0,0
Rbm47,1,1,1,1,1,0,0,1,1
Kif23,1,0,0,0,0,1,1,0,0
Klf10,1,1,1,1,1,0,0,1,1
Dsp,1,1,0,0,0,1,1,0,0
Tfap2a,1,1,1,1,1,0,0,0,0
Yy1,1,0,1,0,0,0,0,1,0
Wt1,1,1,1,1,1,0,0,0,0
Ncam1,1,0,0,0,0,1,1,0,0
Xylt1,1,1,1,1,0,1,1,1,1
Aurka,1,0,0,0,0,1,1,0,0
Slc25a4,1,1,0,0,0,0,0,0,0
Odc1,1,0,1,0,0,1,0,1,0
P4ha1,1,1,0,0,0,1,1,0,0
Racgap1,1,0,1,0,0,1,0,1,0
Bcor,1,1,0,1,1,0,0,0,0
Tcn2,1,1,1,1,1,0,0,0,0
Zbtb40,1,1,0,0,0,0,0,0,0
Zfp131,1,0,1,0,0,0,0,1,0
Rad51,1,0,1,0,0,1,0,1,0
Ppid,1,0,1,0,0,1,0,1,0
Ndufab1,1,0,1,0,0,1,0,1,0
Fdft1,1,0,0,0,0,0,0,0,0
Zbtb16,1,1,1,1,1,0,0,0,0
Cdk1,1,0,1,0,0,1,0,1,0
Ube2s,1,1,0,0,0,1,1,0,0
Prkch,1,1,0,0,0,0,0,0,0
Lmnb1,1,0,1,0,0,1,1,1,0
Il15,1,1,0,0,0,0,0,0,0
Cd68,1,1,0,1,1,0,0,0,0
Smarca5,1,0,1,0,0,0,0,1,0
Zfp462,1,1,0,0,0,0,0,0,0
F10,1,1,1,1,1,0,0,0,0
Bphl,1,1,0,0,0,0,0,0,0
Fads2,1,0,1,0,0,0,0,1,0
Smad4,1,1,1,1,1,0,0,0,0
Smchd1,1,0,1,0,0,1,0,1,0
Pink1,1,1,1,1,1,0,0,0,0
Pex6,1,1,0,0,0,0,0,0,0
Tal1,1,1,1,1,1,1,0,0,0
Dck,1,0,1,0,0,1,0,1,0
Fryl,1,1,0,0,0,0,0,0,0
Hspd1,1,0,1,0,0,1,0,1,0
Ppp1r10,1,1,0,0,0,0,0,0,0
Nck2,1,1,0,0,1,0,0,0,0
Per3,1,1,0,0,0,1,1,0,0
Dbp,1,1,0,0,0,1,0,0,0
Aurkb,1,0,1,0,0,1,0,1,0
Dbf4,1,0,1,0,0,1,0,1,0
Pou2f2,1,1,0,1,1,0,0,0,1
Pdcd4,1,1,0,0,0,1,1,0,0
Sgo2a,1,0,0,0,0,1,1,0,0
Tars1,1,0,1,0,0,1,0,1,0
Foxa2,1,1,0,1,0,0,1,0,1
Rere,1,0,0,0,0,1,1,0,0
Rnf144a,1,1,0,1,0,0,1,0,1
Pdx1,1,1,0,1,0,1,1,0,1
E2f1,1,0,1,0,0,0,0,1,0
Ets2,1,1,1,0,0,1,0,1,0
Arhgef39,1,0,0,0,0,1,1,0,0
Isyna1,1,0,1,0,0,0,0,1,0
Tfap2c,1,1,0,0,0,0,0,0,0
Insig1,1,0,0,0,0,0,0,0,0
Krt18,1,1,1,1,1,0,0,0,0
Nt5e,1,1,1,1,1,0,0,0,0
Ldlr,1,0,0,0,0,1,1,0,0
Bach1,1,0,1,0,0,0,0,1,0
Zfpm1,1,0,0,0,0,0,0,0,0
Asf1b,1,0,1,0,0,1,0,1,0
Shmt1,1,0,1,0,0,1,0,1,0
Hmmr,1,0,0,0,0,1,1,0,0
Myb,1,1,1,0,0,0,0,0,0
Myc,1,0,1,0,0,1,0,1,0
Nek6,1,1,1,1,1,0,0,1,1
Tcf7l2,1,1,1,1,0,1,0,0,0
App,1,0,1,0,0,1,0,1,0
Apex1,1,0,1,0,0,0,0,1,0
Hspa5,1,0,1,0,0,1,0,1,0
Sox2,1,0,1,0,0,1,0,1,0
Ryr1,1,1,0,0,0,1,1,0,0
Adora2b,1,1,1,1,1,0,0,1,1
Flnb,1,1,1,1,1,0,0,0,0
Siva1,1,0,1,0,0,0,0,1,0
Sord,1,1,0,0,0,1,1,0,0
Bax,1,1,1,1,1,0,0,0,0
Ndst1,1,1,1,1,1,0,0,1,1
Etv6,1,0,1,0,0,1,0,1,0
Dhrs9,1,1,0,1,1,0,1,0,1
Akr1b1,1,0,1,0,0,1,0,1,0
Car9,1,1,0,0,0,0,0,0,0
Ankrd28,1,1,0,0,0,1,1,0,0
Gstp3,1,1,0,1,1,0,0,0,0
Socs1,1,1,0,1,1,0,0,0,0
Mlph,1,1,0,0,0,0,0,0,0
Ccn3,1,1,1,1,1,0,0,0,0
Ppp1r15a,1,1,1,1,1,0,0,0,0
Itga4,1,1,0,0,0,0,0,0,0
Pcna,1,0,1,0,0,1,0,1,0
Ccng2,1,1,1,1,1,0,0,0,0
Irf4,1,1,0,1,1,1,1,0,1
Cxcr2,1,1,0,1,1,0,0,0,1
Ano10,1,1,0,0,0,0,0,0,0
Ckap2l,1,0,0,0,0,1,1,0,0
Tubb4b,1,0,0,0,0,1,1,0,0
Skp2,1,0,1,0,0,1,0,1,0
Nap1l1,1,0,1,0,0,1,0,1,0
Nr5a1,1,0,1,0,0,0,0,1,0
Pfkl,1,1,0,0,0,0,0,0,0
Zfp26,1,1,0,0,0,1,1,0,0
Foxm1,1,0,1,0,0,1,0,1,0
Dnph1,1,0,1,0,0,0,0,1,0
Slc3a2,1,1,1,1,1,0,0,0,0
Ifitm3,1,1,1,1,1,0,0,1,1
Evl,1,1,0,0,0,0,0,0,0
Kdm4b,1,0,0,0,0,0,0,0,0
Klf9,1,1,1,0,0,0,0,1,0
Atp2a2,1,0,1,0,0,1,0,1,0
Ckap5,1,0,0,0,0,1,1,0,0
Vcan,1,1,1,0,0,0,0,1,0
Pdgfrb,1,1,0,0,0,0,0,0,0
Icam4,1,1,0,0,0,0,0,0,0
Foxo3,1,1,1,1,1,0,0,0,0
Jun,1,1,1,0,0,0,0,1,0
Egr1,1,0,1,0,0,1,0,1,0
Dock10,1,1,1,1,1,0,0,0,0
Celf1,1,1,0,0,0,0,0,0,0
Cd72,1,1,0,0,0,0,0,0,0
F2r,1,1,1,1,1,0,0,0,0
Mt2,1,1,0,1,1,0,0,0,0
Ccnf,1,0,0,0,0,1,0,0,0
Dio2,1,0,1,0,0,0,0,1,0
Taf15,1,0,1,0,0,0,0,1,0
Pim2,1,1,0,0,0,0,0,0,0
